Топшириқлар рўйхати,,,,,,, 28/72,5/20,,,,,
,,,,Маъсул бўлим,Жами,Жараёнда,Муддати бузилган,,,,,,
1019,FALSE,,,,,,,,0,0,0,0,
1020,FALSE,,,,,,,,0,0,0,0,
1021,FALSE,,,,,,,,0,0,0,0,
1022,FALSE,,,,,,,,0,0,0,0,
1023,FALSE,,,,,,,,0,0,0,0,
1024,FALSE,,,,,,,,0,0,0,0,
1025,FALSE,,,,,,,,0,0,0,0,
1026,FALSE,,,,,,,,0,0,0,0,
1027,FALSE,,,,,,,,0,0,0,0,
1028,FALSE,,,,,,,,0,0,0,0,
1029,FALSE,,,,,,,,0,0,0,0,
1030,FALSE,,,,,,,,0,0,0,0,
1031,FALSE,,,,,,,,0,0,0,0,
1032,FALSE,,,,,,,,0,0,0,0,
1033,FALSE,,,,,,,,0,0,0,0,
1034,FALSE,,,,,,,,0,0,0,0,
1035,FALSE,,,,,,,,0,0,0,0,
1036,FALSE,,,,,,,,0,0,0,0,
1037,FALSE,,,,,,,,0,0,0,0,
1038,FALSE,,,,,,,,0,0,0,0,
1039,FALSE,,,,,,,,0,0,0,0,
1040,FALSE,,,,,,,,0,0,0,0,
1041,FALSE,,,,,,,,0,0,0,0,
1042,FALSE,,,,,,,,0,0,0,0,
1043,FALSE,,,,,,,,0,0,0,0,
1044,FALSE,,,,,,,,0,0,0,0,
1045,FALSE,,,,,,,,0,0,0,0,
1046,FALSE,,,,,,,,0,0,0,0,
1047,FALSE,,,,,,,,0,0,0,0,
1048,FALSE,,,,,,,,0,0,0,0,
1049,FALSE,,,,,,,,0,0,0,0,
1050,FALSE,,,,,,,,0,0,0,0,
1051,FALSE,,,,,,,,0,0,0,0,
1052,FALSE,,,,,,,,0,0,0,0,
1053,FALSE,,,,,,,,0,0,0,0,
1054,FALSE,,,,,,,,0,0,0,0,
1055,FALSE,,,,,,,,0,0,0,0,
1056,FALSE,,,,,,,,0,0,0,0,
1057,FALSE,,,,,,,,0,0,0,0,
1058,FALSE,,,,,,,,0,0,0,0,
1059,FALSE,,,,,,,,0,0,0,0,
1060,FALSE,,,,,,,,0,0,0,0,
1061,FALSE,,,,,,,,0,0,0,0,
1062,FALSE,,,,,,,,0,0,0,0,
1063,FALSE,,,,,,,,0,0,0,0,
1064,FALSE,,,,,,,,0,0,0,0,
1065,FALSE,,,,,,,,0,0,0,0,
1066,FALSE,,,,,,,,0,0,0,0,
1067,FALSE,,,,,,,,0,0,0,0,
1068,FALSE,,,,,,,,0,0,0,0,
1069,FALSE,,,,,,,,0,0,0,0,
1070,FALSE,,,,,,,,0,0,0,0,
1071,FALSE,,,,,,,,0,0,0,0,
1072,FALSE,,,,,,,,0,0,0,0,
1073,FALSE,,,,,,,,0,0,0,0,
1074,FALSE,,,,,,,,0,0,0,0,
1075,FALSE,,,,,,,,0,0,0,0,
1076,FALSE,,,,,,,,0,0,0,0,
1077,FALSE,,,,,,,,0,0,0,0,
1078,FALSE,,,,,,,,0,0,0,0,
1079,FALSE,,,,,,,,0,0,0,0,
1080,FALSE,,,,,,,,0,0,0,0,
1081,FALSE,,,,,,,,0,0,0,0,
1082,FALSE,,,,,,,,0,0,0,0,
1083,FALSE,,,,,,,,0,0,0,0,
1084,FALSE,,,,,,,,0,0,0,0,
1085,FALSE,,,,,,,,0,0,0,0,
1086,FALSE,,,,,,,,0,0,0,0,
1087,FALSE,,,,,,,,0,0,0,0,
1088,FALSE,,,,,,,,0,0,0,0,
1089,FALSE,,,,,,,,0,0,0,0,
1090,FALSE,,,,,,,,0,0,0,0,
1091,FALSE,,,,,,,,0,0,0,0,
1092,FALSE,,,,,,,,0,0,0,0,
1093,FALSE,,,,,,,,0,0,0,0,
1094,FALSE,,,,,,,,0,0,0,0,
1095,FALSE,,,,,,,,0,0,0,0,
1096,FALSE,,,,,,,,0,0,0,0,
1097,FALSE,,,,,,,,0,0,0,0,
1098,FALSE,,,,,,,,0,0,0,0,
1099,FALSE,,,,,,,,0,0,0,0,
1100,FALSE,,,,,,,,0,0,0,0,
1101,FALSE,,,,,,,,0,0,0,0,
1102,FALSE,,,,,,,,0,0,0,0,
1103,FALSE,,,,,,,,0,0,0,0,
1104,FALSE,,,,,,,,0,0,0,0,
1105,FALSE,,,,,,,,0,0,0,0,
1106,FALSE,,,,,,,,0,0,0,0,
1107,FALSE,,,,,,,,0,0,0,0,
1108,FALSE,,,,,,,,0,0,0,0,
1109,FALSE,,,,,,,,0,0,0,0,
1110,FALSE,,,,,,,,0,0,0,0,
1111,FALSE,,,,,,,,0,0,0,0,
1112,FALSE,,,,,,,,0,0,0,0,
1113,FALSE,,,,,,,,0,0,0,0,
1114,FALSE,,,,,,,,0,0,0,0,
1115,FALSE,,,,,,,,0,0,0,0,
1116,FALSE,,,,,,,,0,0,0,0,
1117,FALSE,,,,,,,,0,0,0,0,
1118,FALSE,,,,,,,,0,0,0,0,
1119,FALSE,,,,,,,,0,0,0,0,
1120,FALSE,,,,,,,,0,0,0,0,
1121,FALSE,,,,,,,,0,0,0,0,
1122,FALSE,,,,,,,,0,0,0,0,
1123,FALSE,,,,,,,,0,0,0,0,
1124,FALSE,,,,,,,,0,0,0,0,
1125,FALSE,,,,,,,,0,0,0,0,
1126,FALSE,,,,,,,,0,0,0,0,
1127,FALSE,,,,,,,,0,0,0,0,
1128,FALSE,,,,,,,,0,0,0,0,
1129,FALSE,,,,,,,,0,0,0,0,
1130,FALSE,,,,,,,,0,0,0,0,
1131,FALSE,,,,,,,,0,0,0,0,
1132,FALSE,,,,,,,,0,0,0,0,
1133,FALSE,,,,,,,,0,0,0,0,
1134,FALSE,,,,,,,,0,0,0,0,
1135,FALSE,,,,,,,,0,0,0,0,
1136,FALSE,,,,,,,,0,0,0,0,
1137,FALSE,,,,,,,,0,0,0,0,
1138,FALSE,,,,,,,,0,0,0,0,
1139,FALSE,,,,,,,,0,0,0,0,
1140,FALSE,,,,,,,,0,0,0,0,
1141,FALSE,,,,,,,,0,0,0,0,
1142,FALSE,,,,,,,,0,0,0,0,
1143,FALSE,,,,,,,,0,0,0,0,
1144,FALSE,,,,,,,,0,0,0,0,
1145,FALSE,,,,,,,,0,0,0,0,
1146,FALSE,,,,,,,,0,0,0,0,
1147,FALSE,,,,,,,,0,0,0,0,
1148,FALSE,,,,,,,,0,0,0,0,
1149,FALSE,,,,,,,,0,0,0,0,
1150,FALSE,,,,,,,,0,0,0,0,
1151,FALSE,,,,,,,,0,0,0,0,
1152,FALSE,,,,,,,,0,0,0,0,
1153,FALSE,,,,,,,,0,0,0,0,
1154,FALSE,,,,,,,,0,0,0,0,
1155,FALSE,,,,,,,,0,0,0,0,
1156,FALSE,,,,,,,,0,0,0,0,
1157,FALSE,,,,,,,,0,0,0,0,
1158,FALSE,,,,,,,,0,0,0,0,
1159,FALSE,,,,,,,,0,0,0,0,
1160,FALSE,,,,,,,,0,0,0,0,
1161,FALSE,,,,,,,,0,0,0,0,
1162,FALSE,,,,,,,,0,0,0,0,
1163,FALSE,,,,,,,,0,0,0,0,
1164,FALSE,,,,,,,,0,0,0,0,
1165,FALSE,,,,,,,,0,0,0,0,
1166,FALSE,,,,,,,,0,0,0,0,
1167,FALSE,,,,,,,,0,0,0,0,
1168,FALSE,,,,,,,,0,0,0,0,
1169,FALSE,,,,,,,,0,0,0,0,
1170,FALSE,,,,,,,,0,0,0,0,
1171,FALSE,,,,,,,,0,0,0,0,
1172,FALSE,,,,,,,,0,0,0,0,
1173,FALSE,,,,,,,,0,0,0,0,
1174,FALSE,,,,,,,,0,0,0,0,
1175,FALSE,,,,,,,,0,0,0,0,
1176,FALSE,,,,,,,,0,0,0,0,
1177,FALSE,,,,,,,,0,0,0,0,
1178,FALSE,,,,,,,,0,0,0,0,
1179,FALSE,,,,,,,,0,0,0,0,
1180,FALSE,,,,,,,,0,0,0,0,
1181,FALSE,,,,,,,,0,0,0,0,
1182,FALSE,,,,,,,,0,0,0,0,
1183,FALSE,,,,,,,,0,0,0,0,
1184,FALSE,,,,,,,,0,0,0,0,
1185,FALSE,,,,,,,,0,0,0,0,
1186,FALSE,,,,,,,,0,0,0,0,
1187,FALSE,,,,,,,,0,0,0,0,
1188,FALSE,,,,,,,,0,0,0,0,
1189,FALSE,,,,,,,,0,0,0,0,
1190,FALSE,,,,,,,,0,0,0,0,
1191,FALSE,,,,,,,,0,0,0,0,
1192,FALSE,,,,,,,,0,0,0,0,
1193,FALSE,,,,,,,,0,0,0,0,
1194,FALSE,,,,,,,,0,0,0,0,
1195,FALSE,,,,,,,,0,0,0,0,
1196,FALSE,,,,,,,,0,0,0,0,
1197,FALSE,,,,,,,,0,0,0,0,
1198,FALSE,,,,,,,,0,0,0,0,
1199,FALSE,,,,,,,,0,0,0,0,
1200,FALSE,,,,,,,,0,0,0,0,
1201,FALSE,,,,,,,,0,0,0,0,
1202,FALSE,,,,,,,,0,0,0,0,
1203,FALSE,,,,,,,,0,0,0,0,
1204,FALSE,,,,,,,,0,0,0,0,
1205,FALSE,,,,,,,,0,0,0,0,
1206,FALSE,,,,,,,,0,0,0,0,
1207,FALSE,,,,,,,,0,0,0,0,
1208,FALSE,,,,,,,,0,0,0,0,
1209,FALSE,,,,,,,,0,0,0,0,
1210,FALSE,,,,,,,,0,0,0,0,
1211,FALSE,,,,,,,,0,0,0,0,
1212,FALSE,,,,,,,,0,0,0,0,
1213,FALSE,,,,,,,,0,0,0,0,
1214,FALSE,,,,,,,,0,0,0,0,
1215,FALSE,,,,,,,,0,0,0,0,
1216,FALSE,,,,,,,,0,0,0,0,
1217,FALSE,,,,,,,,0,0,0,0,
1218,FALSE,,,,,,,,0,0,0,0,
1219,FALSE,,,,,,,,0,0,0,0,
1220,FALSE,,,,,,,,0,0,0,0,
1221,FALSE,,,,,,,,0,0,0,0,
1222,FALSE,,,,,,,,0,0,0,0,
1223,FALSE,,,,,,,,0,0,0,0,
1224,FALSE,,,,,,,,0,0,0,0,
1225,FALSE,,,,,,,,0,0,0,0,
1226,FALSE,,,,,,,,0,0,0,0,
1227,FALSE,,,,,,,,0,0,0,0,
1228,FALSE,,,,,,,,0,0,0,0,
1229,FALSE,,,,,,,,0,0,0,0,
1230,FALSE,,,,,,,,0,0,0,0,
1231,FALSE,,,,,,,,0,0,0,0,
1232,FALSE,,,,,,,,0,0,0,0,
1233,FALSE,,,,,,,,0,0,0,0,
1234,FALSE,,,,,,,,0,0,0,0,
1235,FALSE,,,,,,,,0,0,0,0,
1236,FALSE,,,,,,,,0,0,0,0,
1237,FALSE,,,,,,,,0,0,0,0,
1238,FALSE,,,,,,,,0,0,0,0,
1239,FALSE,,,,,,,,0,0,0,0,
1240,FALSE,,,,,,,,0,0,0,0,
1241,FALSE,,,,,,,,0,0,0,0,
1242,FALSE,,,,,,,,0,0,0,0,
1243,FALSE,,,,,,,,0,0,0,0,
1244,FALSE,,,,,,,,0,0,0,0,
1245,FALSE,,,,,,,,0,0,0,0,
1246,FALSE,,,,,,,,0,0,0,0,
1247,FALSE,,,,,,,,0,0,0,0,
1248,FALSE,,,,,,,,0,0,0,0,
1249,FALSE,,,,,,,,0,0,0,0,
1250,FALSE,,,,,,,,0,0,0,0,
1251,FALSE,,,,,,,,0,0,0,0,
1252,FALSE,,,,,,,,0,0,0,0,
1253,FALSE,,,,,,,,0,0,0,0,
1254,FALSE,,,,,,,,0,0,0,0,
1255,FALSE,,,,,,,,0,0,0,0,
1256,FALSE,,,,,,,,0,0,0,0,
1257,FALSE,,,,,,,,0,0,0,0,
1258,FALSE,,,,,,,,0,0,0,0,
1259,FALSE,,,,,,,,0,0,0,0,
1260,FALSE,,,,,,,,0,0,0,0,
1261,FALSE,,,,,,,,0,0,0,0,
1262,FALSE,,,,,,,,0,0,0,0,
1263,FALSE,,,,,,,,0,0,0,0,
1264,FALSE,,,,,,,,0,0,0,0,
1265,FALSE,,,,,,,,0,0,0,0,
1266,FALSE,,,,,,,,0,0,0,0,
1267,FALSE,,,,,,,,0,0,0,0,
1268,FALSE,,,,,,,,0,0,0,0,
1269,FALSE,,,,,,,,0,0,0,0,
1270,FALSE,,,,,,,,0,0,0,0,
1271,FALSE,,,,,,,,0,0,0,0,
1272,FALSE,,,,,,,,0,0,0,0,
1273,FALSE,,,,,,,,0,0,0,0,
1274,FALSE,,,,,,,,0,0,0,0,
1275,FALSE,,,,,,,,0,0,0,0,
1276,FALSE,,,,,,,,0,0,0,0,
1277,FALSE,,,,,,,,0,0,0,0,
1278,FALSE,,,,,,,,0,0,0,0,
1279,FALSE,,,,,,,,0,0,0,0,
1280,FALSE,,,,,,,,0,0,0,0,
1281,FALSE,,,,,,,,0,0,0,0,
1282,FALSE,,,,,,,,0,0,0,0,
1283,FALSE,,,,,,,,0,0,0,0,
1284,FALSE,,,,,,,,0,0,0,0,
1285,FALSE,,,,,,,,0,0,0,0,
1286,FALSE,,,,,,,,0,0,0,0,
1287,FALSE,,,,,,,,0,0,0,0,
1288,FALSE,,,,,,,,0,0,0,0,
1289,FALSE,,,,,,,,0,0,0,0,
1290,FALSE,,,,,,,,0,0,0,0,
1291,FALSE,,,,,,,,0,0,0,0,
1292,FALSE,,,,,,,,0,0,0,0,
1293,FALSE,,,,,,,,0,0,0,0,
1294,FALSE,,,,,,,,0,0,0,0,
1295,FALSE,,,,,,,,0,0,0,0,
1296,FALSE,,,,,,,,0,0,0,0,
1297,FALSE,,,,,,,,0,0,0,0,
1298,FALSE,,,,,,,,0,0,0,0,
1299,FALSE,,,,,,,,0,0,0,0,
1300,FALSE,,,,,,,,0,0,0,0,
1301,FALSE,,,,,,,,0,0,0,0,
1302,FALSE,,,,,,,,0,0,0,0,
1303,FALSE,,,,,,,,0,0,0,0,
1304,FALSE,,,,,,,,0,0,0,0,
1305,FALSE,,,,,,,,0,0,0,0,
1306,FALSE,,,,,,,,0,0,0,0,
1307,FALSE,,,,,,,,0,0,0,0,
1308,FALSE,,,,,,,,0,0,0,0,
1309,FALSE,,,,,,,,0,0,0,0,
1310,FALSE,,,,,,,,0,0,0,0,
1311,FALSE,,,,,,,,0,0,0,0,
1312,FALSE,,,,,,,,0,0,0,0,
1313,FALSE,,,,,,,,0,0,0,0,
1314,FALSE,,,,,,,,0,0,0,0,
1315,FALSE,,,,,,,,0,0,0,0,
1316,FALSE,,,,,,,,0,0,0,0,
1317,FALSE,,,,,,,,0,0,0,0,
1318,FALSE,,,,,,,,0,0,0,0,
1319,FALSE,,,,,,,,0,0,0,0,
1320,FALSE,,,,,,,,0,0,0,0,
1321,FALSE,,,,,,,,0,0,0,0,
1322,FALSE,,,,,,,,0,0,0,0,
1323,FALSE,,,,,,,,0,0,0,0,
1324,FALSE,,,,,,,,0,0,0,0,
1325,FALSE,,,,,,,,0,0,0,0,
1326,FALSE,,,,,,,,0,0,0,0,
1327,FALSE,,,,,,,,0,0,0,0,
1328,FALSE,,,,,,,,0,0,0,0,
1329,FALSE,,,,,,,,0,0,0,0,
1330,FALSE,,,,,,,,0,0,0,0,
1331,FALSE,,,,,,,,0,0,0,0,
1332,FALSE,,,,,,,,0,0,0,0,
1333,FALSE,,,,,,,,0,0,0,0,
1334,FALSE,,,,,,,,0,0,0,0,
1335,FALSE,,,,,,,,0,0,0,0,
1336,FALSE,,,,,,,,0,0,0,0,
1337,FALSE,,,,,,,,0,0,0,0,
1338,FALSE,,,,,,,,0,0,0,0,
1339,FALSE,,,,,,,,0,0,0,0,
1340,FALSE,,,,,,,,0,0,0,0,
1341,FALSE,,,,,,,,0,0,0,0,
1342,FALSE,,,,,,,,0,0,0,0,
1343,FALSE,,,,,,,,0,0,0,0,
1344,FALSE,,,,,,,,0,0,0,0,
1345,FALSE,,,,,,,,0,0,0,0,
1346,FALSE,,,,,,,,0,0,0,0,
1347,FALSE,,,,,,,,0,0,0,0,
1348,FALSE,,,,,,,,0,0,0,0,
1349,FALSE,,,,,,,,0,0,0,0,
1350,FALSE,,,,,,,,0,0,0,0,
1351,FALSE,,,,,,,,0,0,0,0,
1352,FALSE,,,,,,,,0,0,0,0,
1353,FALSE,,,,,,,,0,0,0,0,
1354,FALSE,,,,,,,,0,0,0,0,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
